ID,Longitude,Latitude,Title,Date,Color
E7136,-93.722172,36.196799,"Establish Residence - Huntsville,AR - 2010-01-15",1/15/2010,yellow
E8036,-77.9467119,40.4233554,"Homicide - South Huntington,PA - 2010-03-29",3/29/2010,red
E7991,-98.4933873,33.9137085,"Homicide - Wichita Falls,TX - 2010-04-20",4/20/2010,red
E8019,-90.1745614,35.1644588,"Homicide - West Memphis,AR - 2010-05-21",5/21/2010,red
E6974,-90.0489801,35.1495343,"Other - Memphis,TN - 2010-05-31",5/31/2010,yellow
E5867,-92.1313784,34.7519275,"Weapons Acquisition-Storage - Unknown City,AR - 2010-06-06",6/6/2010,orange
E6557,-91.8318334,35.20105,"Materials Acquisition-Storage - Unknown City,AR - 2010-06-06",6/6/2010,orange
E7473,-93.7413032,36.086187,"Other - Huntsville,AR - 2010-06-06",6/6/2010,yellow
E2881,-93.4039343,36.1835546,"Bombing-Explosion - Osage,AR - 2010-06-08",6/8/2010,red
E6215,-120.0746989,36.9910617,"Sabotage-Tampering-Vandalism - Madera,CA - 2010-08-18",8/18/2010,yellow
E2874,-120.0746989,36.9910617,"Facility-Infrastructure Attack - Madera,CA - 2010-08-20",8/20/2010,red
E6412,-120.051955,36.945215,"Expressed-Implied Threat - Madera,CA - 2010-08-20",8/20/2010,yellow
E6413,-120.0628504,36.9603642,"Sabotage-Tampering-Vandalism - Madera,CA - 2010-08-26",8/26/2010,yellow
E6702,-120.0376037,36.9533838,"Expressed-Implied Threat - Madera,CA - 2010-08-27",8/27/2010,yellow
E6417,-120.051955,36.945215,"Expressed-Implied Threat - Madera,CA - 2010-08-30",8/30/2010,yellow
E2875,-120.051955,36.945215,"Facility-Infrastructure Attack - Madera,CA - 2010-09-02",9/2/2010,red
E6477,-120.0659795,36.9554431,"Weapons Acquisition-Storage - Madera,CA - 2010-09-02",9/2/2010,orange
E2870,-102.3508628,31.395274,"Facility-Infrastructure Attack - Crane,TX - 2010-12-28",12/28/2010,red
E2871,-102.3500078,31.3966692,"Facility-Infrastructure Attack - Crane,TX - 2010-12-28",12/28/2010,red
E2872,-102.351853,31.3981311,"Facility-Infrastructure Attack - Crane,TX - 2010-12-28",12/28/2010,red
E2873,-102.3531235,31.3948978,"Facility-Infrastructure Attack - Crane,TX - 2010-12-28",12/28/2010,red
E7863,-84.3710617,33.7116126,"Homicide - Atlanta,GA - 2011-03-01",3/1/2011,red
E7865,-90.2270676,32.2898603,"Homicide - Jackson,MS - 2011-06-26",6/26/2011,red
E7271,-87.190573,30.49379,"Other - Pensacola,FL - 2011-09-15",9/15/2011,yellow
E8023,-124.1636729,40.8020712,"Homicide - Eureka,CA - 2011-10-02",10/2/2011,red
E8022,-123.2620435,44.5645659,"Homicide - Corvallis,OR - 2011-10-04",10/4/2011,red
E7272,-87.2169149,30.421309,"Materials Acquisition-Storage - Pensacola,FL - 2011-12-01",12/1/2011,orange
E483,-73.931351,40.697132,"Facility-Infrastructure Attack - New York City,NY - 2012-01-01",1/1/2012,red
E484,-73.931351,40.697132,"Facility-Infrastructure Attack - New York City,NY - 2012-01-01",1/1/2012,red
E485,-73.931351,40.697132,"Facility-Infrastructure Attack - New York City,NY - 2012-01-01",1/1/2012,red
E486,-73.931351,40.697132,"Facility-Infrastructure Attack - New York City,NY - 2012-01-01",1/1/2012,red
E6763,-88.4141371,44.3168675,"Materials Acquisition-Storage - Appleton,WI - 2012-04-01",4/1/2012,orange
E6764,-88.3992925,44.2358353,"Materials Acquisition-Storage - Appleton,WI - 2012-04-01",4/1/2012,orange
E8024,-95.992775,36.1539816,"Homicide - Tulsa,OK - 2012-04-06",4/6/2012,red
E442,-79.711978,36.659582,"Facility-Infrastructure Attack - Axton,VA - 2012-05-20",5/20/2012,red
E444,-96.698886,33.019843,"Bombing-Explosion - Plano,TX - 2012-06-18",6/18/2012,red
E18307,-96.6988856,33.0198431,"Bombing-Explosion - Plano,TX - 2012-06-18",6/18/2012,red
E380,-94.5363562,37.056394,"Facility-Infrastructure Attack - Joplin,MO - 2012-07-04",7/4/2012,red
E381,-87.863136,42.88585,"Armed Assault - Oak Creek,WI - 2012-08-05",8/5/2012,red
E382,-94.5363562,37.056394,"Facility-Infrastructure Attack - Joplin,MO - 2012-08-06",8/6/2012,red
E18308,-97.3333436,32.7496312,"Assassination - Forth Worth,TX - 2012-09-28",9/28/2012,red
E385,-83.618569,41.528165,"Facility-Infrastructure Attack - Perrysburg,OH - 2012-09-30",9/30/2012,red
E8025,-92.036845,30.2078384,"Homicide - Lafayette,LA - 2012-10-14",10/14/2012,red
E7911,-84.6478753,38.8074354,"Homicide - Verona,KY - 2013-01-09",1/9/2013,red
E7912,-85.4938239,31.3190612,"Homicide - Midland City,AL - 2013-01-29",1/29/2013,red
E18334,-73.7562317,42.6525793,"Unarmed Assault - Albany,NY - 2013-06-19",6/19/2013,red
E7842,-81.6962807,34.826476,"Homicide - Jonesville,SC - 2013-07-21",7/21/2013,red
E400,-71.454741,42.995673,"Facility-Infrastructure Attack - Manchester,NH - 2013-07-25",7/25/2013,red
E7494,-90.0489801,35.1495343,"Other - Memphis,TN - 2014-02-05",2/5/2014,orange
E7520,-85.1633073,34.352002,"Surveillance-Reconnaissance - Rome,GA - 2014-02-06",2/6/2014,orange
E7311,-85.149928,34.234341,"Weapons Acquisition-Storage - Rome,GA - 2014-02-08",2/8/2014,orange
E7351,-85.2538028,34.2710332,"Weapons Acquisition-Storage - Rome,GA - 2014-02-13",2/13/2014,orange
E7353,-85.2308414,34.2828967,"Surveillance-Reconnaissance - Unknown City,GA - 2014-02-14",2/14/2014,orange
E7354,-85.2308414,34.2828967,"Materials Acquisition-Storage - Unknown City,GA - 2014-02-14",2/14/2014,orange
E2919,-84.7880337,34.2029302,"Bombing-Explosion - Cartersville,GA - 2014-02-15",2/15/2014,red
E7355,-85.2308414,34.2828967,"Weapons Acquisition-Storage - Unknown City,GA - 2014-02-15",2/15/2014,orange
E7378,-84.7880337,34.2029302,"Surveillance-Reconnaissance - Cartersville,GA - 2014-02-15",2/15/2014,orange
E18148,-114.1281,36.7684,"Armed Assault - Bunkerville,NV - 2014-04-12",4/12/2014,red
E409,-94.670792,38.982228,"Armed Assault - Overland Park,KS - 2014-04-13",4/13/2014,red
E410,-94.670792,38.982228,"Armed Assault - Overland Park,KS - 2014-04-13",4/13/2014,red
E7899,-119.858282,34.411929,"Armed Assault - Isla Vista,CA - 2014-05-23",5/23/2014,red
E7900,-119.855348,34.414238,"Armed Assault - Isla Vista,CA - 2014-05-23",5/23/2014,red
